Element	Gene	Ensembl	Element_type	Category	MoF	Tissue
gc19_pc.cds::gencode::ABCB1::ENSG00000085563.10	ABCB1	ENSG00000085563.10	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::ABCB4::ENSG00000005471.11	ABCB4	ENSG00000005471.11	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::ABL1::ENSG00000097007.13	ABL1	ENSG00000097007.13	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::ABL2::ENSG00000143322.15	ABL2	ENSG00000143322.15	cds	prior_unique	Act	Lung-SCC
gc19_pc.cds::gencode::ACACA::ENSG00000132142.15	ACACA	ENSG00000132142.15	cds	prior_unique	Act	PANCANCER;Uterus-AdenoCA
gc19_pc.cds::gencode::ACAD8::ENSG00000151498.7	ACAD8	ENSG00000151498.7	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::ACO1::ENSG00000122729.14	ACO1	ENSG00000122729.14	cds	prior_unique	LoF	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::ACSL3::ENSG00000123983.9	ACSL3	ENSG00000123983.9	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::ACSL6::ENSG00000164398.8	ACSL6	ENSG00000164398.8	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::ACTB::ENSG00000075624.9	ACTB	ENSG00000075624.9	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::ACTG1::ENSG00000184009.5	ACTG1	ENSG00000184009.5	cds	prior_unique	Act	Lymph-CLL;PANCANCER;Uterus-AdenoCA
gc19_pc.cds::gencode::ACTG2::ENSG00000163017.9	ACTG2	ENSG00000163017.9	cds	prior_unique	Act	Lung-SCC;PANCANCER
gc19_pc.cds::gencode::ACVR1::ENSG00000115170.9	ACVR1	ENSG00000115170.9	cds	prior_unique	ambiguous	CNS-Oligo
gc19_pc.cds::gencode::ADAM10::ENSG00000137845.10	ADAM10	ENSG00000137845.10	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::ADCY1::ENSG00000164742.10	ADCY1	ENSG00000164742.10	cds	prior_unique	Act	Prost-AdenoCA
gc19_pc.cds::gencode::AFF4::ENSG00000072364.8	AFF4	ENSG00000072364.8	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::AHCTF1::ENSG00000153207.10	AHCTF1	ENSG00000153207.10	cds	prior_unique	ambiguous	Skin-Melanoma
gc19_pc.cds::gencode::AHR::ENSG00000106546.8	AHR	ENSG00000106546.8	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::AKT2::ENSG00000105221.12	AKT2	ENSG00000105221.12	cds	prior_unique	Act	ColoRect-AdenoCA;PANCANCER
gc19_pc.cds::gencode::ALK::ENSG00000171094.11	ALK	ENSG00000171094.11	cds	prior_unique	Act	CNS-Oligo;Lung-AdenoCA;PANCANCER;Skin-Melanoma;Uterus-AdenoCA
